,web_site
0,http://feeds.bbci.co.uk/news/uk/rss.xml
1,https://www.theguardian.com/uk/rss
2,http://www.dailymail.co.uk/home/index.rss
3,https://www.telegraph.co.uk/rss.xml
4,http://www.independent.co.uk/rss
5,https://www.mirror.co.uk/?service=rss
6,https://www.thesun.co.uk/feed/
7,http://feeds.feedburner.com/daily-express-news-showbiz
8,https://metro.co.uk/feed/
9,https://www.channel4.com/news/feed
10,http://www.huffingtonpost.co.uk/feeds/index.xml
11,https://www.independent.ie/rss/
12,http://www.standard.co.uk/rss
13,http://theconversation.com/uk/articles.atom
14,http://www.wired.co.uk/rss
15,https://www.dailyrecord.co.uk/news/?service=rss
